2-theta (degrees),q (Å⁻¹),Intensity,Miller indices
11.327528315117451,1.0002729678912827,99.99999999999999,"[(1, 1, 0)]"
10.976300350252918,0.9693543573267693,64.1394526879669,"[(0, 0, 2)]"
22.76767914137742,2.0005459357825655,63.1945122359951,"[(2, 2, 0)]"
22.054958872347125,1.9387087146535387,54.33579609891432,"[(0, 0, 4)]"
31.907153431404446,2.7858168499471954,47.69150981212186,"[(2, 2, 4)]"
24.678638184120494,2.1659565332491417,42.487368235844045,"[(1, 3, 0)]"
24.859077326020014,2.181544748697035,36.42017729544958,"[(1, 1, 4)]"
33.3333126377403,2.9068813502099147,34.95089999320529,"[(1, 3, 4)]"
26.29305861355259,2.3052315282885822,28.161349438980423,"[(3, 1, 0)]"
34.577004738774114,3.012089620062671,25.992201991318545,"[(3, 1, 4)]"
21.45050642516686,1.8862061860075257,22.71679821044452,"[(2, 1, 2)]"
25.339511046805246,2.2230231468080883,19.568421368530593,"[(2, 2, 2)]"
20.726532779157274,1.8232531408101031,17.086866685999308,"[(1, 2, 2)]"
28.56848685720034,2.500747941933394,14.645517892257594,"[(3, 1, 2)]"
52.56978236641699,4.488334764718548,14.339036247664424,"[(3, 5, 4)]"
18.37242984822908,1.618062392512929,13.796955015263986,"[(2, 1, 0)]"
17.52717576289973,1.5442163531725441,12.975113282993092,"[(1, 2, 0)]"
27.08023044729275,2.372976100594575,11.78855290667848,"[(1, 3, 2)]"
47.08046211448854,4.048031309156035,11.616430395384446,"[(3, 5, 0)]"
34.15768124512655,2.976656606987077,10.099977169253853,"[(1, 4, 2)]"
