Time of Day,Time,Image Counts,Pyrometer,Spin_Motor,Dispense X,Dispense Z,Gas Quenching,Sine,BK Set Amps,BK Set Volts,BK Amps,BK Volts,BK Power,2D Image,Spectrometer
-0.72706285,-0.3184272,-0.33753011,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,029.txt
-0.72777957,-0.3184006,-0.33667296,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,030.txt
-0.72865035,-0.31853941,-0.33834219,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,032.txt
-0.73000046,-0.31841033,-0.338936,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,033.txt
-0.72842171,-0.31856762,-0.33842586,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,034.txt
-0.73026931,-0.31850341,-0.33825106,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,035.txt
-0.72682123,-0.31852709,-0.33844078,0.0,0.0,0.0,0.0,2662480.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,036.txt
-0.72545913,-0.31844698,-0.33825073,0.0,0.0,0.0,0.0,2663488.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,037.txt
-0.72632277,-0.31844601,-0.33839019,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,038.txt
-0.72720814,-0.31846903,-0.33725477,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,039.txt
-0.72467397,-0.31815478,-0.33868045,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,041.txt
-0.72503849,-0.31838147,-0.3369457,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,042.txt
-0.7267181,-0.31814537,-0.33753271,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,043.txt
-0.72918806,-0.31862178,-0.33750871,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,044.txt
-0.72687799,-0.31833315,-0.33824652,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,045.txt
-0.72773417,-0.31847455,-0.33929534,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,046.txt
-0.73806479,-0.3191702,-0.33754763,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,048.txt
-0.72804908,-0.31844503,-0.33788134,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,049.txt
-0.72707517,-0.31839574,-0.33741758,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,050.txt
-0.72852614,-0.31851346,-0.33727261,0.0,0.0,0.0,0.0,2662880.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,051.txt
-0.72706966,-0.31852936,-0.33822317,0.0,0.0,0.0,0.0,2662364.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,052.txt
-0.7263192,-0.31835261,-0.33681112,0.0,0.0,0.0,0.0,2662364.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,053.txt
-0.72926816,-0.31865292,-0.33721391,0.0,0.0,0.0,0.0,2662380.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,054.txt
-0.72732035,-0.31849433,-0.33747758,0.0,0.0,0.0,0.0,2662380.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,055.txt
-0.72798681,-0.31835909,-0.33724764,0.0,0.0,0.0,0.0,2662380.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,057.txt
